"Name","TID","InfoTID","SWF","HousingSpace","BarrackLevel","LaboratoryLevel","Speed","Hitpoints","TrainingTime","TrainingResource","TrainingCost","UpgradeTimeH","UpgradeResource","UpgradeCost","AttackRange","AttackSpeed","Damage","PreferedTargetDamageMod","DamageRadius","AreaDamageIgnoresWalls","SelfAsAoeCenter","IconSWF","IconExportName","BigPicture","BigPictureSWF","Projectile","PreferedTargetBuilding","PreferedTargetBuildingClass","DeployEffect","AttackEffect","HitEffect","IsFlying","AirTargets","GroundTargets","AttackCount","DieEffect","Animation","UnitOfType","IsJumper","MovementOffsetAmount","MovementOffsetSpeed","TombStone","DieDamage","DieDamageRadius","DieDamageEffect","DieDamageDelay","DisableProduction","SecondaryTroop","IsSecondaryTroop","SecondaryTroopCnt","SecondarySpawnDist","RandomizeSecSpawnDist","PickNewTargetAfterPushback","PushbackSpeed","SummonTroop","SummonTroopCount","SummonCooldown","SummonEffect","SummonLimit","SpawnIdle","StrengthWeight","ChildTroop","ChildTroopCount","SpeedDecreasePerChildTroopLost","ChildTroop0_X","ChildTroop0_Y","ChildTroop1_X","ChildTroop1_Y","ChildTroop2_X","ChildTroop2_Y","AttackMultipleBuildings","IncreasingDamage","DamageLv2","DamageLv3","DamageLv4","Lv2SwitchHits","Lv3SwitchHits","Lv4SwitchHits","AttackSpeedLv2","AttackSpeedLv3","AttackSpeedLv4","AttackEffectLv2","AttackEffectLv3","AttackEffectLv4","TransitionEffectLv2","TransitionEffectLv3","TransitionEffectLv4","HitEffectOffset","TargetedEffectOffset","SecondarySpawnOffset","CustomDefenderIcon","SpecialMovementMod","InvisibilityRadius","HealthReductionPerSecond","AutoMergeDistance","AutoMergeGroupSize","IsUnderground"
,,,,,,1,,30,,,40,48,,250000,,,14,,,,,,"icon_unit_goblin2",,,,,,,,,,,,,,"Goblin",1,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,,36,,,60,72,,750000,,,19,,,,,,"icon_unit_goblin3",,,,,,,,,,,,,,"Goblin2",1,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,,43,,,80,120,,2250000,,,24,,,,,,"icon_unit_goblin4",,,,,,,,,,,,,,"Goblin2",1,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,52,,,100,240,,4500000,,,32,,,,,,"icon_unit_goblin5",,,,,,,,,,,,,,"Goblin3",1,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,68,,,150,,,,,,42,,,,,,"icon_unit_goblin6",,,,,,,,,,,,,,"Goblin6",1,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Giant","TID_GIANT","TID_CHARACTER_INFO_GIANT","sc/characters.cs",5,3,1,150,300,120,"Elixir",250,24,"Elixir",100000,100,2000,11,1,,,,"sc/ui.sc","icon_unit_giant","unit_giant_big","sc/info_giant.sc",,,"Defense","Giant Deploy","Giant Attack","Giant Hit","false","false","true",,"Giant Die","Giant",1,"false",0,0,"TombStone",,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,
,,,,,,2,,360,,,750,48,,250000,,,14,,,,,,"icon_unit_giant2",,,,,,,,,,,,,,"Giant",1,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,,430,,,1250,72,,750000,,,19,,,,,,"icon_unit_giant3",,,,,,,,,,,,,,"Giant2",1,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,,520,,,1750,120,,2250000,,,24,,,,,,"icon_unit_giant4",,,,,,,,,,,,,,"Giant2",1,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,670,,,2250,240,,6000000,,,31,,,,,,"icon_unit_giant5",,,,,,,,,,,,,,"Giant3",1,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,940,,,3000,336,,7000000,,,43,,,,,,"icon_unit_giant6",,,,,,,,,,,,,,"Giant6",1,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,1100,,,3500,,,,,,50,,,,,,"icon_unit_giant6",,,,,,,,,,,,,,"Giant7",1,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wall Breaker","TID_WALL_BREAKER","TID_CHARACTER_INFO_WALLBREAKER","sc/characters.cs",2,5,1,300,20,120,"Elixir",1000,24,"Elixir",100000,50,1000,12,40,80,,,"sc/ui.sc","icon_unit_wallbreaker","unit_skeleton_big","sc/info_wallbreaker.sc",,,"Wall","Wall Breaker Deploy","Wall Breaker Attack","Wall Breaker Hit","false","false","true",1,"Wall Breaker Die","Wall Breaker",1,"false",0,0,"TombStone",,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,
,,,,,,2,,24,,,1500,48,,250000,,,16,,80,,,,"icon_unit_wallbreaker2",,,,,,,,,,,,,,"Wall Breaker",1,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,,29,,,2000,72,,750000,,,24,,80,,,,"icon_unit_wallbreaker3",,,,,,,,,,,,,,"Wall Breaker2",1,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,,35,,,2500,120,,2250000,,,32,,80,,,,"icon_unit_wallbreaker4",,,,,,,,,,,,,,"Wall Breaker2",1,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,42,,,3000,240,,6750000,,,46,,80,,,,"icon_unit_wallbreaker5",,,,,,,,,,,,,,"Wall Breaker3",1,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,54,,,3500,,,,,,60,,80,,,,"icon_unit_wallbreaker6",,,,,,,,,,,,,,"Wall Breaker6",1,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balloon","TID_GOBLIN_BALLOON","TID_CHARACTER_INFO_BALLOON","sc/characters.cs",5,6,1,130,150,480,"Elixir",2000,24,"Elixir",150000,50,4000,25,1,120,,"true","sc/ui.sc","icon_unit_balloon","unit_balloon_big","sc/info_balloon.sc",,,"Defense","Balloon Goblin Deploy","Balloon Goblin Attack","Balloon Goblin Hit","true","false","true",,"Balloon Goblin Die","Balloon Goblin",1,"false",20,20,"TombStone",25,120,"Balloon Exposion",416,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,-750,-500,,,,,,,,
,,,,,,2,,180,,,2500,48,,450000,,,32,,,,,,"icon_unit_balloon2",,,,,,,,,,,,,,"Balloon Goblin",1,,,,,32,,"Balloon Exposion",,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,,216,,,3000,72,,1350000,,,48,,,,,,"icon_unit_balloon3",,,,,,,,,,,,,,"Balloon Goblin2",1,,,,,48,,"Balloon Exposion",,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,,280,,,3500,120,,2500000,,,72,,,,,,"icon_unit_balloon4",,,,,,,,,,,,,,"Balloon Goblin2",1,,,,,72,,"Balloon Exposion",,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,390,,,4000,240,,6000000,,,108,,,,,,"icon_unit_balloon5",,,,,,,,,,,,,,"Balloon Goblin3",1,,,,,108,,"Balloon Exposion",,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,545,,,4500,,,,,,162,,,,,,"icon_unit_balloon6",,,,,,,,,,,,,,"Balloon Goblin6",1,,,,,162,,"Dark Balloon Exposion",,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wizard","TID_WIZARD","TID_CHARACTER_INFO_WIZARD","sc/characters.cs",4,7,1,200,75,480,"Elixir",1500,24,"Elixir",150000,300,1500,50,1,30,,,"sc/ui.sc","icon_unit_wizard","unit_wizard_big","sc/info_wizard.sc","wizard_projectile",,,"Wizard Deploy","Wizard Attack","Wizard Hit1","false","true","true",,"Wizard Die","Wizard",1,"false",0,0,"TombStone",,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,
,,,,,,3,,90,,,2000,48,,450000,,,70,,,,,,"icon_unit_wizard2",,,"wizard_projectile",,,,"Wizard Attack","Wizard Hit1",,,,,,"Wizard",1,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,,108,,,2500,72,,1350000,,,90,,,,,,"icon_unit_wizard3",,,"wizard_projectile",,,,"Wizard Attack","Wizard Hit1",,,,,,"Wizard2",1,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,,130,,,3000,120,,2500000,,,125,,,,,,"icon_unit_wizard4",,,"wizard_projectile2",,,,"Wizard Attack2","Wizard Hit2",,,,,,"Wizard2",1,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,156,,,3500,336,,7500000,,,170,,,,,,"icon_unit_wizard5",,,"wizard_projectile2",,,,"Wizard Attack2","Wizard Hit2",,,,,,"Wizard3",1,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,164,,,4000,,,,,,180,,,,,,"icon_unit_wizard6",,,"wizard_projectile3",,,,"Wizard Attack3","Wizard Hit2",,,,,,"Wizard6",1,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Healer","TID_HEALER","TID_CHARACTER_INFO_HEALER","sc/characters.cs",14,8,1,200,500,900,"Elixir",5000,72,"Elixir",750000,500,700,-35,1,200,,,"sc/ui.sc","icon_unit_healer","unit_healer_big","sc/info_healer.sc","HealerEnergy",,,"Healer Deploy","Healer Attack","Healer Hit","true","false","true",,"Healer Die","Healer",1,"false",8,50,"TombStone",,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,
,,,,,,5,,600,,,6000,120,,1500000,,,-42,,,,,,"icon_unit_healer2",,,,,,,,,,,,,,"Healer",1,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,840,,,8000,168,,3000000,,,-55,,,,,,"icon_unit_healer3",,,,,,,,,,,,,,"Healer2",1,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,1176,,,10000,,,,,,-71,,,,,,"icon_unit_healer4",,,,,,,,,,,,,,"Healer2",1,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dragon","TID_DRAGON","TID_CHARACTER_INFO_DRAGON","sc/characters.cs",20,9,1,200,1900,1800,"Elixir",25000,168,"Elixir",2000000,300,1500,140,1,30,,,"sc/ui.sc","icon_unit_dragon","unit_dragon_big","sc/info_dragon.sc",,,,"Dragon Deploy","Dragon Attack","Dragon Hit","true","true","true",,"Dragon Die","Dragon",1,"false",10,15,"TombStone",,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,-700,-400,,,,,,,,
,,,,,,5,,2100,,,29000,240,,3000000,,,160,,,,,,"icon_unit_dragon2",,,,,,,,,,,,,,"Dragon2",1,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,2300,,,33000,336,,7000000,,,180,,,,,,"icon_unit_dragon3",,,,,,,,,,,,,,"Dragon3",1,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,2500,,,37000,336,,8000000,,,200,,,,,,"icon_unit_dragon4",,,,,,,,,,,,,,"Dragon4",1,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,2700,,,42000,,,,,,220,,,,,,"icon_unit_dragon4",,,,,,,,,,,,,,"Dragon5",1,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PEKKA","TID_PEKKA","TID_CHARACTER_INFO_PEKKA","sc/characters.cs",25,10,1,200,2800,2700,"Elixir",28000,240,"Elixir",3000000,80,2500,240,1,,,,"sc/ui.sc","icon_unit_pekka","unit_pekka_big","sc/info_pekka.sc",,,,"Pekka Deploy","Pekka Attack","Pekka Hit","false","false","true",,"Pekka Die","PEKKA",1,"false",0,0,"TombStone",,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,
,,,,,,6,,3100,,,32000,288,,6000000,,,270,,,,,,"icon_unit_pekka2",,,,,,,,,,,,,,"PEKKA2",1,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,3500,,,36000,336,,7000000,,,300,,,,,,"icon_unit_pekka3",,,,,,,,,,,,,,"PEKKA3",1,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,4000,,,40000,336,,8000000,,,340,,,,,,"icon_unit_pekka4",,,,,,,,,,,,,,"PEKKA4",1,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,4500,,,45000,,,,,,380,,,,,,"icon_unit_pekka5",,,,,,,,,,,,,,"PEKKA5",1,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gargoyle","TID_GARGOYLE","TID_CHARACTER_INFO_MINION","sc/characters.cs",2,1,1,400,55,45,"DarkElixir",6,120,"DarkElixir",10000,275,1000,35,1,,,,"sc/ui.sc","icon_unit_gargoyle","unit_flyingF_big","sc/info_minion.sc","gargoyle_projectile",,,"Gargoyle Deploy","Gargoyle Attack","Gargoyle Hit","true","true","true",,"Gargoyle Die","Gargoyle_lvl1",2,"false",10,100,"DarkTombStone",,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,-400,-300,,,,,,,,
,,,,,,5,,60,,,7,144,,20000,,,38,,,,,,"icon_unit_gargoyle2",,,,,,,,,,,,,,"Gargoyle_lvl1",,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,66,,,8,168,,30000,,,42,,,,,,"icon_unit_gargoyle3",,,,,,,,,,,,,,"Gargoyle_lvl2",,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,72,,,9,240,,40000,,,46,,,,,,"icon_unit_gargoyle4",,,,,,,,,,,,,,"Gargoyle_lvl2",,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,78,,,10,336,,100000,,,50,,,,,,"icon_unit_gargoyle5",,,,,,,,,,,,,,"Gargoyle_lvl3",,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,84,,,11,,,,,,54,,,,,,"icon_unit_gargoyle6",,,,,,,,,,,,,,"Gargoyle_lvl4",,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boar Rider","TID_BOARRIDER","TID_CHARACTER_INFO_RIDER","sc/characters.cs",5,2,1,300,270,120,"DarkElixir",40,192,"DarkElixir",20000,60,1000,60,1,,,,"sc/ui.sc","icon_unit_boarRider","unit_boarRider_big","sc/info_hogrider.sc",,,"Defense","BoarRider Deploy","BoarRider Attack","BoarRider Hit","false","false","true",,"BoarRider Die","BoarRider_lvl1",2,"true",0,0,"DarkTombStone",,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,
,,,,,,5,,312,,,45,240,,30000,,,70,,,,,,"icon_unit_boarRider2",,,,,,,,,,,,,,"BoarRider_lvl1",,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,360,,,52,288,,40000,,,80,,,,,,"icon_unit_boarRider3",,,,,,,,,,,,,,"BoarRider_lvl2",,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,415,,,58,336,,50000,,,92,,,,,,"icon_unit_boarRider4",,,,,,,,,,,,,,"BoarRider_lvl2",,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,475,,,65,,,,,,105,,,,,,"icon_unit_boarRider5",,,,,,,,,,,,,,"BoarRider_lvl3",,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Warrior Girl","TID_WARRIORGIRL","TID_CHARACTER_INFO_VALKYRIE","sc/characters.cs",8,3,1,300,900,480,"DarkElixir",70,240,"DarkElixir",50000,50,1800,88,1,100,,"true","sc/ui.sc","icon_unit_warriorGirl","unit_warriorGirl_big","sc/info_valkyrie.sc",,,,"WarriorGirl Deploy","WarriorGirl Attack","WarriorGirl Hit","false","false","true",,"WarriorGirl Die","WarriorGirl_lvl1",2,"false",0,0,"DarkTombStone",,,,,,,,,,,,,,,,,,,100,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,300,,,,,,,,
,,,,,,6,,1000,,,100,288,,60000,,,99,,,,,,"icon_unit_warriorGirl2",,,,,,,"WarriorGirl Attack",,,,,,,"WarriorGirl_lvl1",,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,1100,,,130,336,,70000,,,111,,,,,,"icon_unit_warriorGirl3",,,,,,,"WarriorGirl Attack2",,,,,,,"WarriorGirl_lvl2",,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,1200,,,160,,,,,,124,,,,,,"icon_unit_warriorGirl4",,,,,,,"WarriorGirl Attack2",,,,,,,"WarriorGirl_lvl2",,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Golem","TID_GOLEM","TID_CHARACTER_INFO_GOLEM","sc/characters.cs",30,4,1,150,4500,2700,"DarkElixir",450,240,"DarkElixir",60000,100,2400,38,1,,,,"sc/ui.sc","icon_unit_golem","unit_golem_big","sc/info_golem.sc",,,"Defense","Golem Deploy","Golem Attack","Golem Hit","false","false","true",,"Golem_split","Golem_lvl1",2,"false",0,0,"DarkTombStone",350,120,,0,,"Golem Secondary",,2,150,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,
,,,,,,6,,5000,,,525,288,,70000,,,42,,,,,,"icon_unit_golem2",,,,,,,,,,,,,,"Golem_lvl1",,,,,,400,,,,,,,2,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,5500,,,600,336,,80000,,,46,,,,,,"icon_unit_golem3",,,,,,,,,,,,,,"Golem_lvl2",,,,,,450,,,,,,,2,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
