"Name","TID","InfoTID","SWF","HousingSpace","BarrackLevel","LaboratoryLevel","Speed","Hitpoints","TrainingTime","TrainingResource","TrainingCost","UpgradeTimeH","UpgradeResource","UpgradeCost","DonateCost","AttackRange","AttackSpeed","DPS","PreferedTargetDamageMod","DamageRadius","AreaDamageIgnoresWalls","SelfAsAoeCenter","IconSWF","IconExportName","BigPicture","BigPictureSWF","Projectile","PreferedTargetBuilding","PreferedTargetBuildingClass","DeployEffect","AttackEffect","HitEffect","HitEffect2","IsFlying","AirTargets","GroundTargets","AttackCount","DieEffect","Animation","UnitOfType","IsJumper","MovementOffsetAmount","MovementOffsetSpeed","TombStone","DieDamage","DieDamageRadius","DieDamageEffect","DieDamageDelay","DisableProduction","SecondaryTroop","IsSecondaryTroop","SecondaryTroopCnt","SecondarySpawnDist","RandomizeSecSpawnDist","PickNewTargetAfterPushback","PushbackSpeed","SummonTroop","SummonTroopCount","SummonCooldown","SummonEffect","SummonLimit","SpawnIdle","StrengthWeight","ChildTroop","ChildTroopCount","SpeedDecreasePerChildTroopLost","ChildTroop0_X","ChildTroop0_Y","ChildTroop1_X","ChildTroop1_Y","ChildTroop2_X","ChildTroop2_Y","AttackMultipleBuildings","IncreasingDamage","DPSLv2","DPSLv3","Lv2SwitchTime","Lv3SwitchTime","AttackEffectLv2","AttackEffectLv3","AttackEffectLv4","TransitionEffectLv2","TransitionEffectLv3","TransitionEffectLv4","HitEffectOffset","TargetedEffectOffset","SecondarySpawnOffset","CustomDefenderIcon","SpecialMovementMod","InvisibilityRadius","HealthReductionPerSecond","AutoMergeDistance","AutoMergeGroupSize","IsUnderground","ProjectileBounces","FriendlyGroupWeight","EnemyGroupWeight","NewTargetAttackDelay","TriggersTraps","ChainShootingDistance","PreAttackEffect","MoveTrailEffect","BecomesTargetableEffect","BoostedIfAlone","BoostRadius","BoostDmgPerfect","BoostAttackSpeed","HideEffect"
,,,,,,3,,36,,,60,72,,750000,,,,19,,,,,,,,,,,,,,,,,,,,,"Goblin2",1,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,,43,,,80,120,,2250000,,,,24,,,,,,,,,,,,,,,,,,,,,"Goblin2",1,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,52,,,100,192,,4500000,,,,32,,,,,,,,,,,,,,,,,,,,,"Goblin3",1,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,68,,,150,240,,6750000,,,,42,,,,,,,,,,,,,,,,,,,,,"Goblin6",1,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,74,,,200,,,,,,,52,,,,,,,,,,,,,,,,,,,,,"Goblin7",1,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Giant","TID_GIANT","TID_CHARACTER_INFO_GIANT","sc/characters.cs",5,3,1,150,300,120,"Elixir",250,24,"Elixir",100000,2,100,2000,11,1,,,,"sc/ui.sc","icon_unit_giant","unit_giant_big","sc/info_giant.sc",,,"Defense","Giant Deploy","Giant Attack","Giant Hit",,"false","false","true",,"Giant Die","Giant",1,"false",,0,"TombStone",,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,600,500,,"true",,,,,,,,,
,,,,,,2,,360,,,750,48,,250000,,,,14,,,,,,,,,,,,,,,,,,,,,"Giant",1,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,,430,,,1250,72,,750000,,,,19,,,,,,,,,,,,,,,,,,,,,"Giant2",1,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,,520,,,1750,120,,2250000,,,,24,,,,,,,,,,,,,,,,,,,,,"Giant2",1,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,670,,,2250,240,,5000000,,,,31,,,,,,,,,,,,,,,,,,,,,"Giant3",1,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,940,,,3000,288,,6000000,,,,43,,,,,,,,,,,,,,,,,,,,,"Giant6",1,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,1100,,,3500,336,,9500000,,,,50,,,,,,,,,,,,,,,,,,,,,"Giant7",1,,,,,,,,,,,,,,,,,,,,,,,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,9,,1260,,,4000,,,,,,,57,,,,,,,,,,,,,,,,,,,,,"Giant8",1,,,,,,,,,,,,,,,,,,,,,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wall Breaker","TID_WALL_BREAKER","TID_CHARACTER_INFO_WALLBREAKER","sc/characters.cs",2,5,1,300,20,40,"Elixir",500,24,"Elixir",100000,2,50,1000,12,40,80,,,"sc/ui.sc","icon_unit_wallbreaker","unit_skeleton_big","sc/info_wallbreaker.sc",,,"Wall","Wall Breaker Deploy","Wall Breaker Attack","Wall Breaker Hit",,"false","false","true",1,"Wall Breaker Die","Wall Breaker",1,"false",,0,"TombStone",,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,50,50,,"true",,,,,,,,,
,,,,,,2,,24,,,750,48,,250000,,,,16,,80,,,,,,,,,,,,,,,,,,,"Wall Breaker",1,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,,29,,,1000,72,,750000,,,,24,,80,,,,,,,,,,,,,,,,,,,"Wall Breaker2",1,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,,35,,,1250,120,,2250000,,,,32,,80,,,,,,,,,,,,,,,,,,,"Wall Breaker2",1,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,42,,,1500,240,,6750000,,,,46,,80,,,,,,,,,,,,,,,,,,,"Wall Breaker3",1,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,54,,,1750,,,,,,,60,,80,,,,,,,,,,,,,,,,,,,"Wall Breaker6",1,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balloon","TID_GOBLIN_BALLOON","TID_CHARACTER_INFO_BALLOON","sc/characters.cs",5,6,1,130,150,80,"Elixir",1000,24,"Elixir",150000,5,50,4000,25,1,120,,"true","sc/ui.sc","icon_unit_balloon","unit_balloon_big","sc/info_balloon.sc",,,"Defense","Balloon Goblin Deploy","Balloon Goblin Attack","Balloon Goblin Hit",,"true","false","true",,"Balloon Goblin Die","Balloon Goblin",1,"false",,20,"TombStone",25,120,"Balloon Exposion",416,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,-750,100,,,,,,,,,,600,500,,"true",,,,,,,,,
,,,,,,2,,180,,,1250,48,,450000,,,,32,,,,,,,,,,,,,,,,,,,,,"Balloon Goblin",1,,,,,32,,"Balloon Exposion",,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,,216,,,1500,72,,1350000,,,,48,,,,,,,,,,,,,,,,,,,,,"Balloon Goblin2",1,,,,,48,,"Balloon Exposion",,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,,280,,,1750,120,,2500000,,,,72,,,,,,,,,,,,,,,,,,,,,"Balloon Goblin2",1,,,,,72,,"Balloon Exposion",,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,390,,,2000,240,,6000000,,,,108,,,,,,,,,,,,,,,,,,,,,"Balloon Goblin3",1,,,,,108,,"Balloon Exposion",,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,545,,,2250,336,,9500000,,,,162,,,,,,,,,,,,,,,,,,,,,"Balloon Goblin6",1,,,,,162,,"Dark Balloon Exposion",,,,,,,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,9,,690,,,2500,,,,,,,198,,,,,,,,,,,,,,,,,,,,,"Balloon Goblin7",1,,,,,214,,"Dark Balloon Exposion",,,,,,,,,,,,,,,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wizard","TID_WIZARD","TID_CHARACTER_INFO_WIZARD","sc/characters.cs",4,7,1,200,75,120,"Elixir",1500,24,"Elixir",150000,5,300,1500,50,1,30,,,"sc/ui.sc","icon_unit_wizard","unit_wizard_big","sc/info_wizard.sc","wizard_projectile",,,"Wizard Deploy","Wizard_attack","Wizard Hit1",,"false","true","true",,"Wizard Die","Wizard",1,"false",,0,"TombStone",,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,600,200,,"true",,,,,,,,,
,,,,,,3,,90,,,2000,48,,450000,,,,70,,,,,,,,,"wizard_projectile",,,,"Wizard_attack","Wizard Hit1",,,,,,,"Wizard",1,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,,108,,,2500,72,,1350000,,,,90,,,,,,,,,"wizard_projectile",,,,"Wizard_attack","Wizard Hit1",,,,,,,"Wizard2",1,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,,130,,,3000,120,,2500000,,,,125,,,,,,,,,"wizard_projectile2",,,,"Wizard_attack2","Wizard Hit2",,,,,,,"Wizard2",1,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,156,,,3500,240,,5000000,,,,170,,,,,,,,,"wizard_projectile2",,,,"Wizard_attack2","Wizard Hit2",,,,,,,"Wizard3",1,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,175,,,4000,336,,8500000,,,,185,,,,,,,,,"wizard_projectile3",,,,"Wizard_attack3","Wizard Hit2",,,,,,,"Wizard6",1,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,190,,,4500,,,,,,,200,,,,,,,,,"wizard_projectile4",,,,"Wizard_attack3","Wizard Hit2",,,,,,,"Wizard7",1,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Healer","TID_HEALER","TID_CHARACTER_INFO_HEALER","sc/characters.cs",14,8,1,200,500,480,"Elixir",5000,72,"Elixir",750000,10,500,700,-35,1,200,,,"sc/ui.sc","icon_unit_healer","unit_healer_big","sc/info_healer.sc","HealerEnergy",,,"Healer Deploy","Healer Attack","Healer Hit",,"true","false","true",,"Healer Die","Healer",1,"false",,50,"TombStone",,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,200,200,,"true",,,,,,,,,
,,,,,,5,,600,,,6000,120,,1500000,,,,-42,,,,,,,,,,,,,,,,,,,,,"Healer",1,,,,,,,,,,,,,,,,,,,,,,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,840,,,8000,168,,3000000,,,,-55,,,,,,,,,,,,,,,,,,,,,"Healer2",1,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,1176,,,10000,,,,,,,-71,,,,,,,,,,,,,,,,,,,,,"Healer2",1,,,,,,,,,,,,,,,,,,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dragon","TID_DRAGON","TID_CHARACTER_INFO_DRAGON","sc/characters.cs",20,9,1,200,1900,720,"Elixir",25000,168,"Elixir",2000000,25,300,1500,140,1,30,,,"sc/ui.sc","icon_unit_dragon","unit_dragon_big","sc/info_dragon.sc",,,,"Dragon Deploy","Dragon Attack","Dragon Hit",,"true","true","true",,"Dragon Die","Dragon",1,"false",,15,"TombStone",,,,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,-700,80,,,,,,,,,,3000,2000,,"true",,,,,,,,,
,,,,,,5,,2100,,,29000,216,,3000000,,,,160,,,,,,,,,,,,,,,,,,,,,"Dragon2",1,,,,,,,,,,,,,,,,,,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,2300,,,33000,240,,5000000,,,,180,,,,,,,,,,,,,,,,,,,,,"Dragon3",1,,,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,2500,,,37000,288,,7000000,,,,200,,,,,,,,,,,,,,,,,,,,,"Dragon4",1,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,2700,,,42000,336,,9000000,,,,220,,,,,,,,,,,,,,,,,,,,,"Dragon5",1,,,,,,,,,,,,,,,,,,,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,9,,2900,,,46000,,,,,,,240,,,,,,,,,,,,,,,,,,,,,"Dragon6",1,,,,,,,,,,,,,,,,,,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PEKKA","TID_PEKKA","TID_CHARACTER_INFO_PEKKA","sc/characters.cs",25,10,1,200,2800,720,"Elixir",28000,240,"Elixir",3000000,25,80,2500,240,1,,,,"sc/ui.sc","icon_unit_pekka","unit_pekka_big","sc/info_pekka.sc",,,,"Pekka Deploy","Pekka Attack","Pekka Hit",,"false","false","true",,"Pekka Die","PEKKA",1,"false",,0,"TombStone",,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,3000,2000,,"true",,,,,,,,,
,,,,,,6,,3100,,,32000,288,,6000000,,,,270,,,,,,,,,,,,,,,,,,,,,"PEKKA2",1,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,3500,,,36000,336,,7000000,,,,300,,,,,,,,,,,,,,,,,,,,,"PEKKA3",1,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,4000,,,40000,336,,8000000,,,,340,,,,,,,,,,,,,,,,,,,,,"PEKKA4",1,,,,,,,,,,,,,,,,,,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,4500,,,45000,,,,,,,380,,,,,,,,,,,,,,,,,,,,,"PEKKA5",1,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gargoyle","TID_GARGOYLE","TID_CHARACTER_INFO_MINION","sc/characters.cs",2,1,1,400,55,36,"DarkElixir",6,120,"DarkElixir",10000,1,275,1000,35,1,,,,"sc/ui.sc","icon_unit_gargoyle","unit_flyingF_big","sc/info_minion.sc","gargoyle_projectile",,,"Gargoyle Deploy","Gargoyle Attack","Gargoyle Hit",,"true","true","true",,"Gargoyle Die","Gargoyle_lvl1",2,"false",,100,"DarkTombStone",,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,-400,60,,,,,,,,,,200,100,,"true",,,,,,,,,
,,,,,,5,,60,,,7,144,,20000,,,,38,,,,,,,,,,,,,,,,,,,,,"Gargoyle_lvl1",,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,66,,,8,168,,30000,,,,42,,,,,,,,,,,,,,,,,,,,,"Gargoyle_lvl2",,,,,,,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,72,,,9,240,,40000,,,,46,,,,,,,,,,,,,,,,,,,,,"Gargoyle_lvl2",,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,78,,,10,288,,100000,,,,50,,,,,,,,,,,,,,,,,,,,,"Gargoyle_lvl3",,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,84,,,11,336,,140000,,,,54,,,,,,,,,,,,,,,,,,,,,"Gargoyle_lvl4",,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,9,,90,,,12,,,,,,,58,,,,,,,,,,,,,,,,,,,,,"Gargoyle_lvl5",,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boar Rider","TID_BOARRIDER","TID_CHARACTER_INFO_RIDER","sc/characters.cs",5,2,1,300,270,90,"DarkElixir",40,192,"DarkElixir",20000,5,60,1000,60,1,,,,"sc/ui.sc","icon_unit_boarRider","unit_boarRider_big","sc/info_hogrider.sc",,,"Defense","BoarRider Deploy","BoarRider Attack","BoarRider Hit",,"false","false","true",,"BoarRider Die","BoarRider_lvl1",2,"true",,0,"DarkTombStone",,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,600,500,,"true",,,,,,,,,
,,,,,,5,,312,,,45,240,,30000,,,,70,,,,,,,,,,,,,,,,,,,,,"BoarRider_lvl1",,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,360,,,52,264,,40000,,,,80,,,,,,,,,,,,,,,,,,,,,"BoarRider_lvl2",,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,415,,,58,288,,50000,,,,92,,,,,,,,,,,,,,,,,,,,,"BoarRider_lvl2",,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,475,,,65,336,,100000,,,,105,,,,,,,,,,,,,,,,,,,,,"BoarRider_lvl3",,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
